Date,Open,High,Low,Close,Volume,Market Cap
30-12-2017,1.92,2.11,1.54,1.77,10681,1027680
31-12-2017,0.004704,0.005672,0.004658,0.005432,368,412351
31-12-2017,0.00801,0.011394,0.007931,0.011142,1,50014
31-12-2017,1.75,2,1.6,1.77,17617,937598
01-01-2018,0.005453,0.00555,0.004726,0.004726,1153,477947
01-01-2018,0.011185,0.011264,0.010587,0.011072,111,69838
01-01-2018,1.78,2,1.68,1.82,16297,953561
02-01-2018,0.004725,0.005452,0.004432,0.004913,809,414204
02-01-2018,0.011071,0.011422,0.006139,0.007742,368,69127
02-01-2018,1.82,2.23,1.56,1.79,305848,977527
03-01-2018,0.004896,0.005566,0.004695,0.004841,619,429131
03-01-2018,0.007715,0.00804,0.006765,0.006959,74,48169
03-01-2018,1.79,2.1,1.78,1.83,25427,958049
04-01-2018,0.004867,0.005104,0.003287,0.00425,3069,426646
04-01-2018,0.006997,0.013205,0.006884,0.01275,343,43688
04-01-2018,1.84,1.98,1.68,1.75,30910,988548
05-01-2018,0.004251,0.005699,0.004181,0.005261,2030,372589
05-01-2018,0.012752,0.015077,0.012544,0.014425,467,79623
05-01-2018,1.75,2.11,1.67,1.87,29541,936308
06-01-2018,0.005265,0.005762,0.004,0.005337,4695,461496
06-01-2018,0.014436,0.016226,0.013908,0.016182,250,90139
06-01-2018,1.87,2.08,1.68,1.73,14789,1002230
07-01-2018,0.005333,0.009306,0.004412,0.00848,11037,467435
07-01-2018,0.01617,0.016516,0.014936,0.016308,536,100965
07-01-2018,1.73,2.06,1.63,1.65,25131,927848
08-01-2018,0.008468,0.008769,0.00584,0.006644,4209,742261
08-01-2018,0.016285,0.016346,0.014243,0.015403,14,101681
08-01-2018,1.65,1.84,1.46,1.66,18869,883073
09-01-2018,0.006626,0.007854,0.004773,0.005397,919,580819
09-01-2018,0.015361,0.015828,0.013244,0.015315,111,95912
09-01-2018,1.66,1.69,1.47,1.59,20098,888443
10-01-2018,0.005404,0.008099,0.005365,0.008099,1478,473646
10-01-2018,0.015335,0.016198,0.014521,0.016198,51,95747
10-01-2018,1.59,1.6,1.38,1.57,16604,855075
11-01-2018,0.00809,0.00812,0.004934,0.00496,2006,709116
11-01-2018,0.01618,0.016239,0.013756,0.014747,27,101026
11-01-2018,1.57,1.59,1.38,1.41,12221,842042
